"","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj65_Time2",41,13,34,19,7,39,32,37,33,40,26,20,43,38,23,12,39,36,32,16,9,35,30,21,34,58,16,24,36,17,16,20,20,32,23,32,32,20,9,24,15,12,12,27,50,46,12,37,21,22,19,29,16,19,8,48,22,25,9,30,22,11,23,24,16,20,21,30,23,42,68,47,21,38,40,20,47,30,22,12,23,25,39,61,36,34,38,15,23,14,32,31,24,6,22,11,4,18,59,18
"Sbj66_Time2",12,18,25,15,10,19,13,20,10,11,29,33,41,44,27,29,10,22,14,2,37,16,18,16,13,36,43,22,42,19,53,82,42,27,8,27,45,10,16,35,13,84,35,14,35,25,33,37,8,36,36,32,49,29,15,12,13,22,32,12,36,54,12,21,16,35,19,37,31,32,12,12,29,31,7,30,28,24,12,17,31,33,50,28,62,30,6,35,43,10,18,10,10,7,34,49,21,17,7,11
"Sbj67_Time2",32,59,28,13,36,44,66,54,35,10,22,15,20,17,21,26,45,38,32,32,8,3,70,11,4,29,18,16,17,22,12,14,8,20,13,19,47,20,39,9,17,12,29,12,24,4,35,20,17,47,12,16,4,57,40,56,110,35,67,19,11,28,48,32,38,32,29,6,32,35,19,11,13,42,13,27,53,17,15,28,57,15,0,45,11,29,10,27,15,14,19,61,23,25,26,20,69,27,16,3
"Sbj68_Time2",26,11,17,44,30,9,14,42,13,20,22,14,60,25,24,62,10,19,13,38,9,16,37,30,9,7,62,18,14,43,25,19,35,30,20,22,8,32,36,34,14,28,5,60,9,44,6,11,21,10,21,8,38,34,28,35,9,7,42,70,12,28,12,21,25,33,26,21,37,17,17,32,17,21,16,33,43,12,19,28,24,63,30,35,17,33,1,24,19,52,28,18,17,21,52,24,29,38,14,40
"Sbj69_Time2",43,28,19,13,5,24,21,9,8,10,31,25,80,18,7,35,14,21,31,27,19,7,14,23,17,13,30,32,11,19,12,22,13,22,20,17,21,20,4,16,46,9,16,42,18,14,23,25,27,37,16,58,14,45,14,3,42,29,2,65,43,20,50,5,13,36,28,25,24,12,26,19,63,55,20,20,27,42,20,29,24,16,33,35,30,18,46,28,19,29,28,34,61,38,37,9,26,23,4,29
"Sbj7_Time2",3,14,46,6,30,11,12,21,39,24,31,41,31,37,65,5,13,30,16,35,19,32,60,31,27,43,5,15,33,11,40,25,35,24,25,50,12,25,35,11,62,45,31,43,34,23,35,33,25,25,45,25,16,18,11,30,15,28,7,17,11,71,39,20,12,27,29,27,12,16,2,14,11,33,15,29,20,26,26,46,121,46,38,10,12,16,7,26,17,9,70,8,7,11,31,18,14,14,44,45
"Sbj70_Time2",24,23,23,23,47,70,36,17,35,29,15,7,7,19,33,37,35,5,22,26,28,33,32,31,17,3,40,9,37,57,13,26,24,25,29,41,23,21,39,14,14,30,29,32,36,18,9,3,13,40,29,5,26,9,57,14,24,6,24,12,3,37,56,18,51,28,20,9,44,17,25,33,1,39,31,24,20,13,20,21,24,8,26,46,22,18,28,17,3,14,19,29,39,56,40,34,7,52,27,20
"Sbj71_Time2",30,31,6,18,18,18,5,66,21,18,26,34,2,9,14,24,24,33,28,60,18,21,24,35,23,14,33,14,31,9,45,11,55,24,22,25,22,19,43,11,45,56,42,9,24,31,21,28,46,46,24,30,18,31,16,44,16,38,10,5,18,46,41,71,9,31,37,11,17,13,58,31,42,52,19,18,28,31,8,43,31,41,78,10,36,36,16,20,37,32,19,6,41,20,42,38,16,13,58,11
"Sbj72_Time2",23,63,18,13,12,37,18,55,19,19,21,18,30,16,22,22,21,13,17,11,31,33,10,24,49,31,44,37,31,27,22,57,29,25,14,14,30,14,17,12,17,18,6,36,9,36,32,29,49,44,37,54,20,18,47,15,24,17,12,37,21,16,44,17,26,26,53,17,37,11,32,18,31,14,19,58,85,33,71,21,80,66,42,39,25,19,71,34,20,31,40,15,11,17,14,23,18,33,20,12
"Sbj73_Time2",18,25,17,31,19,6,24,21,11,13,91,21,19,9,17,16,34,13,7,81,43,36,70,13,14,33,17,23,58,5,59,30,31,28,22,16,21,60,42,19,39,36,9,22,25,24,14,53,50,36,26,19,42,27,7,11,35,64,20,51,23,28,29,42,7,22,15,27,23,11,22,15,42,11,15,51,27,25,29,2,9,24,33,54,29,17,40,13,77,11,21,22,7,16,28,38,19,6,13,8
"Sbj74_Time2",10,1,24,17,23,61,14,19,14,63,27,11,26,13,20,9,19,36,14,31,38,10,20,10,24,17,18,27,18,19,64,32,47,30,18,10,3,35,32,39,48,66,30,12,23,22,13,18,26,36,64,22,34,7,16,21,8,24,23,26,32,34,6,27,16,34,42,30,28,9,46,36,13,13,32,8,26,19,36,2,11,38,46,23,14,16,55,39,14,16,17,8,20,24,15,29,8,23,11,44
"Sbj75_Time2",17,37,15,18,37,35,31,32,5,26,28,30,21,21,41,78,50,30,12,13,19,31,31,9,32,53,5,22,23,22,7,27,32,16,27,32,32,51,33,7,19,21,26,21,26,13,19,52,71,7,25,25,35,26,19,19,28,21,11,35,19,12,53,10,27,12,48,24,40,22,45,24,30,12,35,29,38,35,25,40,14,22,51,18,10,59,10,24,15,19,9,40,13,48,30,20,13,28,15,17
"Sbj76_Time2",36,23,35,27,36,19,39,26,16,32,37,23,25,33,21,2,48,31,29,11,15,33,43,46,9,36,31,10,31,20,18,10,8,22,39,26,49,82,43,19,28,20,18,37,7,46,15,40,24,41,20,20,17,42,11,22,11,25,33,21,10,27,46,9,13,19,20,65,30,10,9,16,4,1,30,15,17,21,42,13,27,14,22,32,29,29,23,24,22,70,21,52,57,33,26,44,25,19,12,25
"Sbj77_Time2",29,14,18,14,83,37,15,10,58,26,41,32,12,20,23,42,16,30,20,15,21,42,15,7,14,12,47,7,49,17,51,23,45,23,47,25,31,23,21,25,95,38,28,36,31,28,23,23,42,17,19,39,21,22,23,43,14,40,34,16,20,15,24,26,17,24,75,59,13,33,17,50,38,43,54,23,7,23,30,9,29,41,24,25,22,28,45,13,34,46,17,15,29,8,22,11,27,16,15,41
"Sbj78_Time2",43,44,11,39,11,114,18,45,34,82,8,54,11,5,32,14,27,27,21,22,34,44,4,52,32,14,14,12,13,61,24,20,19,31,17,36,15,29,9,12,40,33,16,9,30,14,24,19,5,26,22,24,8,18,27,8,39,16,29,18,23,20,25,19,38,23,14,24,9,27,28,14,32,34,19,66,38,8,18,12,7,54,37,34,21,13,3,35,9,15,51,17,12,52,34,28,20,54,7,6
"Sbj79_Time2",50,13,22,27,19,26,10,24,16,32,14,26,36,36,25,12,15,17,7,7,49,31,24,48,9,8,22,22,24,24,40,24,56,21,37,20,16,12,36,13,15,13,30,26,25,27,70,15,29,12,36,16,13,31,38,33,18,11,21,30,11,25,9,32,40,11,42,18,8,28,62,4,8,7,36,35,41,37,17,6,7,28,19,20,7,11,17,18,24,43,37,16,17,19,50,15,28,29,13,5
"Sbj8_Time2",43,12,25,6,33,33,13,11,30,37,20,30,27,20,56,10,10,13,37,13,18,21,34,4,29,37,33,27,22,28,69,20,31,19,31,20,19,34,36,30,26,12,18,16,15,36,28,39,22,17,23,4,15,11,29,33,4,26,10,29,17,71,21,38,22,31,28,14,49,23,25,23,89,18,33,7,12,28,33,40,80,26,37,76,36,19,14,16,36,40,32,28,25,42,20,22,25,28,16,74
"Sbj80_Time2",92,32,16,5,56,42,31,16,32,32,6,24,19,9,48,16,29,23,27,49,64,21,22,12,10,14,55,39,9,26,9,44,13,24,21,31,41,5,51,27,25,13,26,36,41,22,3,13,29,47,10,11,41,46,20,47,18,16,34,17,18,7,20,10,25,21,33,5,60,45,25,15,18,19,15,10,10,23,56,1,15,12,14,12,39,4,29,16,16,10,21,34,3,15,20,26,29,43,18,31
"Sbj81_Time2",25,11,31,13,6,27,29,55,32,11,14,17,21,26,27,25,22,23,8,24,23,7,5,30,27,16,34,36,18,34,10,25,9,21,29,37,17,19,15,7,32,14,25,9,12,13,16,31,35,13,18,31,60,37,21,11,7,36,10,44,37,9,29,32,37,37,27,4,32,13,7,10,8,45,34,20,39,70,5,34,54,18,14,76,18,15,24,29,15,43,5,27,16,10,15,21,40,31,27,1
"Sbj82_Time2",18,14,18,22,10,9,60,32,36,19,33,26,46,8,24,13,28,18,12,26,30,16,23,33,16,20,2,25,22,12,5,38,11,29,36,5,18,13,10,29,50,12,13,23,8,33,25,22,39,17,28,22,36,20,19,33,12,39,6,12,43,9,42,5,11,18,21,13,20,51,50,19,23,33,38,47,42,18,25,5,10,12,4,14,49,16,6,24,33,44,11,59,26,15,15,30,53,21,29,11
"Sbj83_Time2",57,28,33,16,74,61,21,32,7,19,10,20,50,19,15,18,25,51,12,12,17,15,14,15,24,7,7,16,12,32,28,18,23,13,22,49,23,2,52,47,13,13,44,31,14,20,39,4,33,33,10,15,26,24,21,20,28,17,8,33,11,32,19,11,41,36,18,42,30,14,6,24,23,18,38,36,23,18,31,39,40,47,44,25,5,13,34,19,24,27,20,19,12,23,37,50,19,39,38,17
"Sbj84_Time2",12,17,12,33,92,18,13,8,7,29,11,23,10,8,10,52,5,30,43,18,12,20,39,43,35,10,16,8,19,36,65,30,50,25,18,37,17,35,58,32,12,32,35,22,19,61,20,15,42,39,55,12,16,26,14,19,5,18,41,18,3,17,11,45,26,14,18,29,52,84,15,19,25,15,14,14,18,37,27,27,10,59,29,44,11,21,20,25,7,10,25,7,46,54,14,17,31,31,28,54
"Sbj85_Time2",25,14,45,12,47,8,33,15,16,15,15,19,28,12,46,7,42,20,31,31,45,33,8,19,67,19,2,30,16,70,13,5,11,23,17,34,28,21,33,51,16,18,25,15,29,20,18,13,38,57,14,11,27,27,40,22,29,8,68,29,13,13,21,42,48,27,54,41,30,46,41,34,66,16,18,26,27,27,8,9,34,22,11,17,14,26,17,19,4,27,37,35,57,40,39,43,18,43,21,12
"Sbj86_Time2",42,11,9,45,10,8,40,6,8,38,10,28,30,11,9,30,45,5,18,11,19,37,19,32,13,34,30,26,17,36,14,15,11,23,49,9,9,15,20,32,4,30,63,12,39,35,23,20,36,32,53,13,6,9,26,42,18,11,24,35,46,23,33,29,25,30,59,26,31,27,14,26,27,14,45,7,1,14,15,13,29,40,33,26,22,24,51,13,12,34,12,26,13,25,16,19,7,35,26,29
"Sbj87_Time2",14,21,14,25,13,17,32,58,46,12,29,30,35,4,30,79,48,18,92,8,39,16,40,10,41,15,11,25,24,22,26,33,17,16,19,21,22,30,22,13,27,20,15,35,42,45,28,33,14,19,9,15,13,51,18,7,20,14,41,9,37,51,33,32,20,45,15,15,22,26,19,15,15,39,34,32,26,53,41,6,14,12,5,19,9,22,66,28,18,16,20,40,22,20,24,31,33,25,21,34
"Sbj88_Time2",19,56,12,37,33,24,33,46,41,3,32,32,12,24,34,13,9,7,33,25,31,4,14,31,10,26,10,46,27,16,15,4,15,23,8,16,37,36,30,4,9,13,6,23,79,12,22,27,13,21,14,23,33,54,12,20,60,13,27,4,48,7,38,16,19,20,11,20,8,27,24,34,30,10,16,33,46,22,4,24,29,15,11,37,63,22,27,65,30,7,33,16,45,27,30,46,72,21,30,35
"Sbj89_Time2",13,30,34,18,16,21,40,7,24,34,35,23,12,17,7,26,19,27,7,27,27,32,45,31,8,20,20,46,40,15,7,10,9,27,13,16,49,44,38,38,55,3,7,8,34,50,54,38,17,39,9,20,45,24,26,31,14,26,6,15,36,7,10,28,16,43,33,21,20,22,24,27,2,26,27,25,16,31,51,46,51,19,19,17,13,37,11,16,16,29,9,73,22,18,26,23,6,18,16,61
"Sbj9_Time2",21,17,13,34,23,29,12,27,85,20,21,19,11,6,38,27,8,21,35,20,18,16,10,26,23,22,14,12,15,21,13,32,38,26,30,10,25,27,32,18,27,48,40,15,32,37,48,28,5,27,31,6,42,27,26,40,6,37,19,14,25,16,55,35,33,40,17,78,27,18,31,23,22,0,15,24,37,9,39,40,25,28,22,10,26,44,33,12,33,19,59,7,26,14,38,12,22,23,32,20
"Sbj90_Time2",12,17,6,19,2,47,72,25,21,33,14,23,30,10,9,7,66,8,67,18,35,15,18,13,19,7,24,49,25,39,8,21,3,26,15,45,18,13,7,11,20,7,18,27,8,14,19,11,38,3,10,61,12,17,13,65,23,13,24,22,24,17,19,19,34,20,32,21,41,19,26,32,30,2,12,39,26,20,12,35,31,7,4,13,12,44,51,12,26,24,6,85,33,34,29,26,13,44,28,17
"Sbj91_Time2",34,16,18,5,7,30,10,32,12,42,30,9,27,17,12,33,15,5,7,21,20,34,29,30,17,27,6,5,43,15,44,42,28,16,30,47,24,32,22,49,6,45,10,9,18,14,46,40,43,17,57,10,39,17,17,20,24,23,35,45,16,42,26,17,14,12,44,28,13,33,11,51,26,12,21,19,11,36,47,8,12,40,14,23,40,8,11,17,27,43,18,4,16,28,39,18,19,19,53,26
"Sbj92_Time2",44,12,32,21,55,18,40,42,34,20,38,87,19,13,26,52,28,52,32,22,15,28,42,14,34,50,22,12,36,21,16,34,9,36,6,6,15,21,57,10,2,4,10,13,22,3,26,38,5,34,18,16,17,27,23,10,18,14,16,18,14,11,37,12,13,39,5,14,9,19,27,41,25,10,3,36,32,44,8,34,36,12,12,11,19,17,56,59,19,11,10,71,33,7,37,68,24,19,35,3
"Sbj93_Time2",28,31,20,59,64,8,6,36,12,39,70,6,28,8,21,27,20,16,34,22,18,76,37,28,26,32,18,33,36,4,46,42,25,19,19,23,26,42,23,21,29,64,20,12,15,18,25,50,30,34,46,37,14,12,3,39,27,42,5,32,29,40,10,9,6,22,79,12,29,22,14,33,19,7,50,22,43,2,11,19,25,20,38,37,14,31,15,9,26,29,22,6,40,7,28,8,13,8,21,7
"Sbj94_Time2",45,26,26,42,9,40,14,24,16,30,10,21,23,15,29,58,25,15,16,25,38,32,35,27,11,52,9,43,29,29,34,2,25,33,37,16,21,30,20,24,46,26,48,48,13,17,9,26,19,28,25,37,75,18,28,14,20,22,30,11,31,38,16,25,34,42,44,40,21,30,25,21,29,36,42,24,33,8,34,40,14,60,20,21,34,17,47,19,37,34,10,22,49,29,15,4,21,22,66,19
"Sbj95_Time2",34,13,22,22,25,64,14,27,14,98,6,8,37,15,24,33,25,25,16,43,19,95,17,39,16,6,21,56,7,47,42,20,48,27,26,10,41,13,19,33,15,21,21,47,29,22,24,18,21,14,87,51,43,5,36,44,15,24,19,27,44,65,39,15,36,31,40,54,13,20,16,16,9,21,30,79,23,35,5,29,64,28,41,29,40,35,21,18,16,8,33,15,30,50,4,27,1,42,35,16
"Sbj96_Time2",34,16,10,9,55,5,14,4,27,10,64,6,20,15,12,50,30,48,13,15,60,7,17,30,44,46,19,40,44,14,39,21,29,26,47,27,11,49,28,39,6,40,7,26,6,38,20,65,13,53,35,29,19,32,22,87,7,19,12,30,23,51,24,11,16,17,21,14,15,17,17,22,88,34,57,16,10,23,24,5,23,38,18,18,28,17,10,12,28,35,22,7,10,7,17,12,16,9,15,44
"Sbj97_Time2",38,60,33,7,9,31,18,32,22,27,2,3,37,14,12,9,26,32,24,42,9,59,12,11,53,15,31,14,14,44,54,29,43,27,37,17,32,16,21,11,14,45,4,16,14,6,6,6,10,12,47,27,24,13,25,33,64,10,4,25,32,20,45,28,54,21,37,57,45,25,38,8,14,29,41,18,13,57,11,43,61,33,33,14,22,19,30,13,22,33,13,16,14,34,48,8,14,54,3,18
"Sbj98_Time2",10,18,29,31,22,8,28,16,26,18,66,30,8,34,14,20,25,19,40,23,13,21,24,22,8,25,10,5,38,11,17,6,20,16,14,40,19,21,33,52,22,5,45,15,24,35,4,70,13,20,17,14,25,19,13,13,14,34,43,32,10,47,33,32,7,2,29,21,28,58,28,12,5,8,34,9,21,36,30,40,34,27,25,6,39,26,34,30,31,6,14,39,34,0,25,16,30,7,5,38
"Sbj99_Time2",20,14,20,39,6,20,18,10,12,32,22,30,17,10,16,21,18,38,15,10,7,40,9,31,10,24,22,35,12,21,36,30,51,35,33,37,32,20,34,40,10,61,11,42,23,38,15,37,45,33,45,17,21,7,14,46,22,24,22,27,16,45,8,13,28,29,39,12,24,15,11,20,47,53,34,20,21,58,42,65,21,21,13,22,13,46,33,14,13,45,68,16,32,14,30,31,26,23,16,74
