"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj36_Time3",3,36,19,1,13,32,28,44,27,19,13,53,20,24,11,38,13,13,25,35,15,45,12,13,19,22,48,70,10,17,31,34,29,10,23,18,23,36,18,52,18,12,7,30,51,7,34,9,7,13,27,22
"Sbj36_Time4",4,36,21,13,5,38,23,41,28,25,14,48,22,19,12,40,21,13,34,36,21,43,16,7,24,14,55,70,10,12,28,31,25,11,18,21,29,37,17,49,10,7,14,34,52,8,38,12,13,15,30,21
"Sbj37_Time1",1,37,11,20,14,11,14,11,21,10,12,13,17,16,19,17,19,20,15,13,15,16,15,12,7,16,16,17,17,12,6,11,12,8,13,13,9,15,12,12,18,13,16,21,17,10,8,7,7,14,19,13
"Sbj37_Time2",2,37,15,18,22,12,22,19,9,14,30,29,14,9,6,14,16,9,11,7,12,20,25,13,33,23,29,21,17,16,12,17,32,16,12,16,23,15,26,14,19,15,15,23,22,21,7,6,9,16,22,15
"Sbj37_Time3",3,37,17,5,20,7,22,24,10,12,33,33,8,13,5,13,12,10,9,5,10,17,13,5,23,16,30,25,12,18,9,18,29,21,6,15,22,11,29,14,20,21,16,16,17,18,6,12,10,13,19,20
"Sbj37_Time4",4,37,19,12,25,7,19,26,8,13,28,38,10,7,9,15,17,8,12,16,9,25,15,6,22,21,26,22,10,21,10,19,28,20,9,18,17,10,26,11,21,17,12,18,16,17,9,7,7,9,16,17
"Sbj38_Time1",1,38,19,19,19,20,19,14,17,14,22,15,7,17,20,20,25,10,15,15,15,12,13,20,14,15,9,13,16,14,9,11,8,19,20,23,11,18,10,14,15,13,12,16,17,20,21,19,16,10,16,12
"Sbj38_Time2",2,38,16,22,35,42,7,39,12,13,6,18,22,35,11,30,7,29,18,8,23,39,22,12,20,19,14,10,39,14,17,25,29,11,31,21,17,18,21,33,13,19,24,13,10,13,16,23,7,26,33,12
"Sbj38_Time3",3,38,13,22,36,36,7,43,7,13,16,6,27,35,6,28,16,34,19,10,23,44,23,17,21,24,21,16,34,12,14,31,26,16,42,20,15,22,27,36,4,13,27,15,14,15,21,18,10,31,38,6
"Sbj38_Time4",4,38,22,18,30,36,9,41,12,14,9,17,17,33,4,24,18,29,21,9,26,43,23,18,19,17,19,4,28,8,21,27,25,9,32,13,20,20,24,36,5,13,22,18,9,10,13,24,8,30,38,8
"Sbj39_Time1",1,39,17,11,18,11,17,21,9,16,8,13,14,13,13,17,7,15,15,28,12,15,14,13,12,26,18,13,11,11,21,17,17,18,14,19,13,17,18,22,17,17,10,16,11,5,10,23,21,6,16,8
"Sbj39_Time2",2,39,147,124,151,32,47,27,142,12,139,12,113,15,104,17,14,10,13,8,5,77,139,100,88,34,12,111,24,37,137,109,44,10,59,64,24,15,81,49,34,66,94,7,36,38,10,41,10,7,15,31
"Sbj39_Time3",3,39,147,127,155,30,44,28,143,8,133,11,113,6,106,10,17,10,12,12,11,71,142,102,91,37,15,110,25,36,135,103,42,11,48,69,25,15,83,53,36,68,97,14,41,36,13,48,9,5,8,28
"Sbj39_Time4",4,39,145,131,148,34,50,22,145,3,139,7,112,8,102,5,19,8,12,9,8,77,138,107,91,37,16,104,28,44,131,103,49,11,51,67,23,20,85,48,35,71,96,15,40,35,11,44,15,12,6,26
"Sbj4_Time1",1,4,20,24,12,15,8,16,15,18,8,15,18,15,12,10,11,7,14,19,19,16,15,7,19,9,15,20,19,14,19,17,11,19,17,23,10,19,14,13,16,16,22,9,21,11,12,19,24,15,20,21
"Sbj4_Time2",2,4,17,12,50,30,17,25,13,12,20,25,9,32,0,16,21,49,12,18,26,50,24,9,30,25,24,26,14,41,41,10,7,8,19,26,8,17,28,33,22,15,8,35,51,37,14,12,9,20,32,25
"Sbj4_Time3",3,4,16,9,51,37,21,28,10,9,11,15,10,36,8,16,15,46,4,16,28,51,26,10,35,27,33,32,7,45,43,14,11,8,16,28,10,20,30,35,20,6,9,33,44,33,10,10,5,18,30,27
"Sbj4_Time4",4,4,14,6,51,28,12,33,10,10,20,15,11,35,15,16,18,39,13,6,27,50,25,9,32,28,28,25,8,51,45,6,13,5,18,30,12,23,27,39,23,10,11,41,47,38,13,9,11,16,30,30
"Sbj40_Time1",1,40,13,14,8,12,9,23,12,7,17,17,16,13,11,11,23,17,23,19,21,21,10,11,18,20,12,17,11,19,11,19,13,22,26,16,9,19,17,17,19,15,9,16,17,20,15,17,9,22,21,15
"Sbj40_Time2",2,40,6,26,23,13,41,10,10,20,19,32,22,21,13,21,27,14,27,12,21,28,6,25,14,25,6,11,23,12,17,23,12,14,5,8,31,22,29,11,21,15,35,15,10,10,24,16,29,20,30,11
"Sbj40_Time3",3,40,8,19,13,18,39,15,8,15,13,31,21,25,16,21,23,8,27,11,21,31,14,22,9,27,7,0,21,8,15,20,2,12,10,8,31,22,30,9,21,18,34,16,11,12,29,13,33,24,24,11
"Sbj40_Time4",4,40,17,24,16,19,33,17,10,14,24,34,13,21,6,22,27,12,20,9,22,30,4,17,13,23,8,8,15,13,21,12,15,14,6,7,36,26,29,14,18,20,34,20,9,18,28,9,32,21,25,12
"Sbj41_Time1",1,41,8,15,11,10,15,15,14,20,11,24,13,14,14,18,14,21,13,24,12,17,10,9,19,19,18,17,8,20,13,9,12,12,17,8,17,15,25,12,16,7,11,12,19,17,19,20,14,15,9,21
"Sbj41_Time2",2,41,11,12,19,23,38,8,12,20,31,11,27,35,20,24,27,18,35,29,7,12,33,17,19,26,7,12,4,30,35,30,12,23,28,21,24,12,9,10,32,10,9,31,29,19,13,31,9,9,14,39
"Sbj41_Time3",3,41,14,11,17,20,30,4,8,11,33,9,22,40,10,21,34,19,36,28,16,8,31,15,24,27,13,13,14,27,36,32,16,29,32,16,26,10,13,14,33,16,9,29,34,25,12,25,8,13,5,37
"Sbj41_Time4",4,41,11,10,14,23,34,13,7,15,30,13,25,44,12,23,22,13,33,24,12,10,28,17,28,30,1,7,13,24,36,31,11,18,30,22,25,2,11,14,29,8,14,34,33,23,11,28,16,8,9,39
"Sbj42_Time1",1,42,23,12,9,12,16,15,9,11,17,16,7,18,24,15,13,13,13,18,9,21,16,10,13,16,21,16,8,23,7,21,5,21,22,11,12,13,14,21,15,10,14,12,10,8,11,8,14,15,15,15
"Sbj42_Time2",2,42,16,12,16,29,20,4,16,9,16,23,8,1,11,20,7,14,14,26,13,21,15,9,16,19,14,15,14,21,20,22,25,25,13,7,10,16,21,18,10,14,25,16,18,17,10,20,4,21,20,16
"Sbj42_Time3",3,42,9,14,12,28,18,11,15,12,18,20,15,14,11,22,14,9,17,30,17,24,15,7,18,15,17,13,13,16,19,24,21,27,9,12,9,18,27,25,13,12,22,22,16,25,12,24,9,21,28,13
"Sbj42_Time4",4,42,9,13,16,24,18,15,13,11,18,21,10,14,10,21,14,9,18,17,11,19,12,13,18,17,20,12,16,13,24,20,22,25,17,9,10,21,28,22,9,13,15,22,19,20,9,19,13,14,24,10
"Sbj43_Time1",1,43,14,11,15,9,13,13,17,18,16,19,10,18,7,10,21,19,16,16,14,11,12,18,17,12,17,15,9,14,15,14,22,19,15,18,20,12,16,10,9,15,16,18,17,14,12,11,21,13,11,15
"Sbj43_Time2",2,43,7,6,15,10,13,23,11,32,31,20,12,23,11,15,33,23,41,30,19,10,24,10,32,26,14,18,6,18,18,10,30,24,9,21,12,39,17,29,17,14,13,10,12,32,17,22,13,18,10,28
"Sbj43_Time3",3,43,13,9,18,3,8,20,9,34,29,25,10,21,4,17,27,18,39,29,17,4,23,11,29,26,9,21,8,20,26,17,29,34,11,23,12,35,19,30,23,11,13,13,14,34,20,17,16,20,8,28
"Sbj43_Time4",4,43,11,13,12,9,8,23,15,33,31,27,9,31,8,24,23,19,39,28,13,8,17,13,25,25,13,20,11,18,20,18,29,29,12,16,12,34,18,31,17,16,12,13,12,30,16,17,21,22,13,22
"Sbj44_Time1",1,44,5,19,15,20,15,13,17,21,14,20,21,14,20,27,14,6,26,20,20,17,13,17,18,16,17,16,10,9,19,12,13,5,19,15,14,16,6,18,11,17,23,16,14,21,12,20,21,11,14,23
"Sbj44_Time2",2,44,24,33,18,17,26,27,13,12,22,19,44,21,13,42,12,16,29,9,19,37,22,34,39,7,32,13,30,8,23,10,31,7,14,14,11,13,19,15,9,40,13,16,15,8,24,9,12,8,33,22
"Sbj44_Time3",3,44,19,39,14,15,28,34,9,15,18,8,43,13,16,39,10,3,29,9,17,34,22,31,47,11,33,9,23,6,22,12,37,11,19,12,9,7,18,20,8,35,15,15,15,15,26,10,14,10,25,10
"Sbj44_Time4",4,44,19,37,15,13,29,27,8,5,17,13,46,15,14,43,9,14,27,12,24,30,22,35,42,10,32,14,30,11,24,11,34,7,23,16,6,6,13,17,10,35,6,17,13,14,21,10,15,11,23,16
"Sbj45_Time1",1,45,22,8,9,16,13,13,11,12,13,22,10,18,6,14,18,11,17,13,16,6,11,16,11,24,15,21,15,22,15,11,19,14,15,14,14,15,15,9,17,23,16,17,15,15,20,17,20,13,8,17
"Sbj45_Time2",2,45,21,25,28,14,28,11,14,11,31,8,21,14,20,29,36,17,34,35,23,32,16,14,9,13,27,10,32,22,9,18,13,11,12,20,24,22,23,7,21,21,11,18,12,10,28,12,10,8,31,13
"Sbj45_Time3",3,45,15,22,24,15,30,18,28,16,30,9,20,10,18,29,30,11,17,34,25,29,18,14,9,11,24,14,33,29,17,16,14,7,13,20,23,28,30,11,21,20,13,17,9,18,25,11,10,9,23,19
"Sbj45_Time4",4,45,19,18,27,11,28,12,25,11,36,7,24,9,24,24,43,11,26,37,24,28,16,15,8,14,22,11,38,27,8,17,11,13,11,27,26,22,22,10,19,23,7,15,12,17,24,7,8,10,23,13
"Sbj46_Time1",1,46,6,12,9,15,8,14,16,11,10,12,16,13,19,12,12,16,13,19,14,9,16,19,18,20,15,12,25,18,20,11,13,14,13,17,13,14,16,18,15,21,12,22,24,8,12,15,15,17,19,15
"Sbj46_Time2",2,46,8,23,10,25,22,41,21,22,2,23,8,11,32,15,10,26,10,8,15,33,22,22,21,16,27,12,7,15,8,11,29,24,8,8,29,16,13,20,26,9,16,50,19,15,6,29,11,15,23,19
"Sbj46_Time3",3,46,8,25,17,23,15,40,25,21,9,19,14,17,32,14,16,24,11,9,14,29,20,21,16,12,31,14,14,12,11,10,22,27,9,13,27,11,11,16,16,7,22,49,15,13,10,22,7,18,22,20
"Sbj46_Time4",4,46,8,19,11,28,17,42,27,25,12,18,11,16,35,18,17,18,11,10,10,23,22,14,17,17,30,11,5,18,8,9,22,31,10,8,30,10,11,16,19,7,16,45,15,11,6,23,14,10,23,15
"Sbj47_Time1",1,47,9,16,13,10,15,8,16,20,19,10,14,6,16,12,13,12,23,13,23,6,15,22,17,12,10,20,15,14,19,17,12,15,24,19,19,20,19,18,17,17,10,15,17,17,10,13,14,9,18,14
"Sbj47_Time2",2,47,26,21,13,18,15,34,35,7,20,10,12,14,12,13,21,12,10,16,11,33,18,16,17,15,10,14,41,14,39,30,16,23,31,27,15,11,14,10,25,32,9,18,22,5,31,16,39,15,15,14
"Sbj47_Time3",3,47,27,15,11,23,19,28,31,13,19,6,15,10,9,11,19,16,10,19,16,34,12,12,24,7,10,15,42,7,40,27,16,21,27,27,15,3,7,6,26,26,7,22,15,10,28,20,35,13,16,13
"Sbj47_Time4",4,47,23,15,16,20,19,33,29,4,20,14,9,17,10,10,19,21,13,9,9,32,8,16,18,15,13,18,46,15,36,25,18,24,35,23,20,15,13,7,27,30,8,21,19,7,30,18,42,11,11,12
"Sbj48_Time1",1,48,14,10,12,13,9,18,11,18,21,17,20,19,17,10,16,12,13,17,11,21,15,11,15,22,18,15,8,14,12,13,10,15,14,15,15,17,16,18,13,17,29,22,11,21,16,9,9,15,20,21
"Sbj48_Time2",2,48,11,26,18,11,5,16,11,14,28,27,39,21,11,32,19,48,17,19,23,9,31,27,35,11,53,32,14,35,10,9,30,34,27,20,15,10,34,7,23,30,26,14,30,9,10,15,12,34,11,15
"Sbj48_Time3",3,48,13,24,17,12,14,8,10,9,26,21,31,18,15,26,14,47,20,21,28,14,27,27,36,8,46,27,20,31,15,8,35,38,26,14,12,12,23,1,27,34,29,15,27,14,14,14,11,35,10,19
"Sbj48_Time4",4,48,11,26,20,9,15,16,12,16,25,26,33,28,4,27,13,42,20,18,27,7,33,29,37,11,51,29,21,33,12,9,30,38,20,15,9,13,27,4,21,34,21,10,31,9,9,17,12,34,4,13
"Sbj49_Time1",1,49,19,16,6,15,13,14,18,4,19,12,21,5,18,18,11,12,17,14,19,16,13,17,14,14,15,12,10,21,7,16,17,10,18,20,20,22,14,20,14,12,9,14,11,16,17,23,9,18,6,13
"Sbj49_Time2",2,49,24,58,25,22,22,12,13,38,54,18,20,49,41,24,44,22,15,15,21,29,8,15,46,12,21,19,11,46,6,48,38,26,47,7,13,44,29,28,27,11,31,16,11,13,8,47,8,14,21,22
"Sbj49_Time3",3,49,27,56,26,27,19,13,6,32,50,22,27,50,45,23,44,22,12,10,18,31,17,12,47,7,32,14,6,40,10,42,36,24,42,13,11,41,30,25,34,13,31,14,8,12,12,45,9,7,17,22
"Sbj49_Time4",4,49,22,59,23,21,16,10,9,30,54,21,31,45,42,20,46,24,8,8,16,31,10,14,47,11,27,13,13,36,14,40,39,26,41,9,11,42,34,22,30,8,33,8,16,14,9,51,10,10,10,25
"Sbj5_Time1",1,5,9,12,12,14,18,14,13,15,8,19,11,13,16,15,13,13,15,17,17,17,17,12,8,12,11,9,12,20,15,18,19,14,10,19,18,13,15,16,13,10,10,10,12,23,17,19,20,19,10,20
"Sbj5_Time2",2,5,19,17,29,24,35,20,36,26,13,14,11,6,11,20,13,12,8,48,22,26,33,9,9,23,10,30,31,10,7,39,37,43,14,16,10,15,38,9,46,9,35,18,36,11,42,38,26,8,23,28
"Sbj5_Time3",3,5,21,16,34,19,41,17,34,19,7,11,13,10,12,10,19,14,10,47,27,23,30,10,16,27,7,33,29,12,12,36,42,44,13,17,6,13,40,9,45,7,32,22,33,10,48,30,30,11,18,22
"Sbj5_Time4",4,5,18,17,38,20,35,19,38,24,6,14,13,8,14,7,15,16,13,48,24,28,33,9,6,18,9,29,30,14,12,36,46,42,16,18,10,11,38,12,53,7,33,18,37,4,51,38,23,5,23,34
"Sbj50_Time1",1,50,19,19,22,9,20,16,16,13,15,12,22,20,16,13,19,15,13,14,19,15,19,18,9,16,21,21,7,22,13,25,14,13,12,15,19,11,17,14,19,7,12,12,25,27,14,13,14,14,7,13
"Sbj50_Time2",2,50,30,64,58,44,35,6,31,23,10,27,25,31,14,28,14,14,11,9,30,29,39,8,19,9,33,18,5,9,9,63,26,5,14,25,28,10,47,35,9,27,39,76,34,13,49,8,12,11,22,35
"Sbj50_Time3",3,50,32,69,62,43,41,16,27,20,7,28,22,34,11,23,17,11,12,10,37,26,37,13,17,12,35,18,10,9,8,65,26,13,10,32,31,13,45,37,8,31,35,71,27,13,43,8,5,18,25,44
"Sbj50_Time4",4,50,23,64,62,39,33,14,29,20,7,22,22,34,7,35,13,17,15,8,40,24,39,13,21,16,33,20,13,2,13,59,30,10,7,28,31,14,50,28,10,34,33,67,32,9,39,8,12,13,26,40
"Sbj6_Time1",1,6,16,11,20,14,17,14,21,20,16,20,19,9,16,21,5,14,9,17,17,18,18,14,16,12,15,11,10,14,15,11,12,22,9,24,16,7,18,13,19,22,20,11,15,15,14,12,12,18,13,14
"Sbj6_Time2",2,6,33,19,46,32,11,35,39,13,34,23,16,24,22,44,31,14,12,33,28,24,19,9,37,7,11,16,5,11,24,21,8,18,8,15,31,23,29,11,26,27,12,25,11,5,11,28,11,23,7,14
"Sbj6_Time3",3,6,29,21,35,31,14,31,36,14,38,23,8,17,13,37,32,10,18,29,26,20,9,7,35,2,12,15,7,12,25,23,14,20,11,15,31,25,28,18,21,19,13,16,11,12,13,36,10,23,16,16
"Sbj6_Time4",4,6,31,23,39,28,11,34,48,9,41,22,12,21,5,41,31,13,8,26,27,20,13,16,35,5,10,13,12,11,21,23,6,19,6,16,35,20,25,13,29,29,16,22,12,14,9,31,12,21,12,15
"Sbj7_Time1",1,7,14,11,10,18,15,13,18,20,21,14,17,14,9,12,18,9,11,10,18,19,9,19,24,16,14,11,12,22,12,11,10,17,15,20,15,13,20,12,20,17,18,16,14,18,14,21,10,21,17,20
"Sbj7_Time2",2,7,10,76,65,16,55,11,20,19,5,16,33,28,50,77,76,81,21,14,11,46,9,20,4,10,12,15,13,56,39,46,37,70,39,3,38,29,44,39,5,11,81,45,54,51,17,33,14,39,67,10
"Sbj7_Time3",3,7,10,70,64,9,56,7,29,15,6,17,33,32,54,82,81,79,19,12,15,44,10,15,12,13,7,19,12,53,40,47,34,58,36,5,37,28,45,40,13,10,82,43,54,57,18,37,17,34,71,14
"Sbj7_Time4",4,7,12,68,63,5,56,5,18,17,9,16,28,23,51,81,79,83,24,14,10,49,10,10,11,12,8,9,13,50,42,48,33,65,36,15,37,20,44,40,15,9,73,48,53,56,16,37,20,40,71,11
"Sbj8_Time1",1,8,17,16,18,15,13,19,15,18,11,17,19,19,11,12,18,16,22,9,11,14,14,15,7,7,17,9,10,20,18,12,14,11,15,19,19,17,16,20,19,13,21,7,12,14,22,12,10,12,25,11
"Sbj8_Time2",2,8,7,39,10,22,15,13,9,19,13,8,21,9,22,23,19,29,22,13,25,15,12,13,30,27,10,17,29,12,18,15,11,7,17,10,24,13,16,23,33,16,18,17,11,28,14,20,17,15,12,17
"Sbj8_Time3",3,8,8,39,18,23,14,14,12,17,9,8,22,5,20,23,21,30,27,11,27,12,12,10,15,30,9,18,33,12,14,15,13,9,15,14,12,12,7,24,35,11,15,18,13,22,15,17,8,9,8,21
"Sbj8_Time4",4,8,6,31,10,19,12,14,16,22,14,11,27,14,20,28,20,26,27,14,23,7,14,11,20,29,13,22,31,13,15,18,13,12,16,7,14,11,15,26,30,15,13,21,10,28,16,13,11,9,11,27
"Sbj9_Time1",1,9,6,15,20,9,15,17,16,13,15,16,22,22,21,16,21,20,16,4,19,17,12,16,21,16,19,13,20,16,15,11,18,9,12,12,18,18,16,19,13,14,8,11,18,17,11,6,17,23,18,21
"Sbj9_Time2",2,9,7,40,32,21,64,26,12,21,17,65,12,64,10,28,33,32,14,53,5,37,12,12,27,32,81,54,42,21,61,48,10,10,78,65,75,62,57,5,48,9,11,60,10,10,6,57,60,17,5,16
"Sbj9_Time3",3,9,15,49,33,9,61,23,13,22,15,66,13,65,10,26,35,27,17,55,12,37,17,6,28,33,76,49,39,19,67,59,8,14,74,62,75,60,61,6,39,8,16,56,7,10,9,63,62,24,10,11
"Sbj9_Time4",4,9,13,50,33,10,64,29,14,18,12,63,6,68,9,27,36,30,3,60,7,40,12,6,28,37,80,53,47,19,65,48,5,7,70,68,72,56,53,11,34,11,15,55,6,9,15,58,59,21,12,10
