"","Time","ID","Group","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj36_Time1",1,36,1,14,20,13,11,19,21,22,12,18,16,11,12,18,19,13,16,14,9,20,15,5,12,15,15,15,13,9,10,9,8,14,18,15,15,16,19,17,18,12,17,11,11,16,19,16,23,7,8,18,18
"Sbj36_Time2",2,36,1,30,12,12,13,25,32,12,18,19,9,11,30,26,43,36,33,36,29,10,12,36,35,49,16,23,43,9,32,14,48,11,9,45,50,24,12,7,29,20,14,8,11,33,20,12,11,80,64,15,51
"Sbj36_Time3",3,36,1,36,14,6,14,21,28,15,25,19,7,13,35,24,32,36,31,32,32,12,14,33,32,52,6,29,36,9,37,11,47,11,11,40,53,29,8,20,29,19,9,14,15,36,21,12,9,69,64,9,54
"Sbj36_Time4",4,36,1,32,16,9,17,23,32,9,21,21,15,11,37,21,36,38,34,38,25,18,15,34,31,52,8,20,43,10,36,7,42,8,15,43,50,25,18,13,32,25,11,12,9,33,20,13,11,74,63,11,49
"Sbj37_Time1",1,37,1,18,18,14,17,10,22,12,19,15,19,19,20,10,14,7,17,18,17,14,11,10,15,14,18,18,19,9,15,17,14,12,23,14,14,17,20,11,15,15,16,12,18,12,19,20,20,17,14,15,22
"Sbj37_Time2",2,37,1,40,13,11,12,18,34,21,22,22,9,13,30,19,37,30,44,39,36,15,23,40,26,64,11,15,32,11,32,12,50,15,3,41,48,33,9,16,29,23,9,14,13,35,34,10,10,92,72,12,70
"Sbj37_Time3",3,37,1,34,11,13,10,19,27,24,19,23,13,16,35,22,36,25,39,39,34,13,25,38,19,60,9,24,30,14,31,11,47,10,8,42,54,41,14,14,28,23,10,11,19,35,33,5,14,94,68,10,68
"Sbj37_Time4",4,37,1,35,9,12,14,17,33,23,21,23,8,16,26,30,41,29,41,39,34,11,26,43,33,64,13,17,33,12,33,15,44,9,11,46,48,42,10,12,25,27,10,12,16,32,37,11,10,92,78,17,74
"Sbj38_Time1",1,38,1,20,14,24,11,20,25,11,23,23,12,16,17,16,13,19,19,14,12,16,18,22,16,9,13,17,11,14,21,22,17,11,13,17,14,14,16,19,17,16,20,9,20,11,11,15,20,15,9,14,18
"Sbj38_Time2",2,38,1,19,11,4,9,29,21,13,25,19,21,10,26,27,32,31,20,35,12,22,15,24,23,36,15,25,28,10,31,10,33,12,12,35,48,30,7,20,27,26,17,6,13,28,16,10,18,53,50,13,32
"Sbj38_Time3",3,38,1,17,5,12,7,36,15,12,21,17,14,6,17,21,29,33,17,28,11,24,10,22,18,35,8,19,30,7,28,9,28,11,13,33,49,27,6,19,16,30,9,19,11,31,23,8,7,59,52,9,30
"Sbj38_Time4",4,38,1,20,13,13,11,34,18,18,22,21,13,11,19,31,40,39,21,28,15,22,21,22,27,36,8,25,28,7,24,11,28,17,10,37,51,26,11,15,24,30,6,20,12,31,15,10,13,61,49,17,37
"Sbj39_Time1",1,39,1,17,15,14,16,12,14,14,13,19,13,18,15,12,19,16,19,11,23,19,15,24,23,12,17,14,18,16,12,17,19,17,14,13,15,19,10,18,25,15,11,6,20,17,9,16,15,21,22,13,20
"Sbj39_Time2",2,39,1,29,8,9,8,25,42,11,29,29,22,13,39,30,51,33,38,39,32,19,22,39,28,69,12,24,38,9,30,13,50,7,10,59,57,35,10,12,26,31,15,15,12,35,43,16,8,104,83,13,82
"Sbj39_Time3",3,39,1,32,8,13,9,22,31,16,25,34,20,15,36,21,42,28,42,39,31,15,21,39,25,67,13,20,39,9,39,14,46,13,13,50,56,29,14,9,29,33,8,15,12,40,45,1,12,100,84,9,80
"Sbj39_Time4",4,39,1,34,13,15,11,24,31,11,26,33,25,11,37,21,48,25,43,39,33,18,19,41,23,68,15,22,44,7,34,10,50,11,6,57,58,36,11,11,31,30,12,8,13,41,42,11,19,101,86,10,79
"Sbj4_Time1",1,4,0,14,12,9,14,17,10,16,9,19,16,10,11,10,13,21,9,17,20,18,18,14,16,14,19,17,19,17,12,20,12,15,14,8,17,7,14,18,11,19,17,8,21,16,11,11,21,15,10,13,17
"Sbj4_Time2",2,4,0,30,16,10,10,26,21,28,17,17,9,15,22,16,17,29,20,22,17,16,12,24,12,25,23,10,16,7,23,12,23,21,8,19,33,10,11,9,17,12,10,17,23,16,14,14,20,22,27,32,12
"Sbj4_Time3",3,4,0,24,10,14,8,21,23,29,16,21,9,13,22,13,14,21,18,18,18,24,11,28,12,20,25,11,16,12,19,17,13,16,18,19,31,14,10,5,27,19,22,9,14,20,16,16,16,18,25,28,24
"Sbj4_Time4",4,4,0,28,12,6,12,22,22,31,19,20,8,12,22,15,19,21,18,18,15,16,18,24,11,17,18,12,22,10,19,13,16,21,20,19,29,10,11,11,23,15,21,13,12,17,16,13,19,20,28,29,17
"Sbj40_Time1",1,40,1,11,8,14,15,12,29,20,4,16,17,14,12,22,13,17,17,19,15,9,20,17,7,18,19,12,17,15,14,21,15,17,10,25,19,14,6,17,18,16,15,19,23,19,15,19,15,21,15,22,19
"Sbj40_Time2",2,40,1,28,11,4,14,19,30,14,24,24,23,6,30,35,40,19,43,45,20,12,33,33,22,57,8,34,28,8,39,22,39,8,15,45,51,27,12,13,27,30,11,14,11,44,48,11,9,99,84,14,81
"Sbj40_Time3",3,40,1,26,11,13,12,24,34,18,36,27,18,13,31,35,37,25,40,45,23,14,26,37,19,56,16,30,30,16,32,16,48,14,18,53,50,20,10,9,27,27,7,16,8,41,56,8,2,103,85,6,78
"Sbj40_Time4",4,40,1,29,8,12,9,16,34,14,29,31,19,9,29,34,42,24,52,40,24,9,22,30,22,63,14,29,30,11,25,23,40,9,14,48,46,28,12,3,26,25,15,9,18,40,43,11,13,105,78,6,79
"Sbj41_Time1",1,41,1,17,23,17,8,16,19,15,18,17,12,17,18,19,16,15,18,23,13,12,17,12,16,13,23,12,8,18,12,20,20,15,19,24,19,18,16,22,9,21,26,12,22,17,15,18,12,16,15,14,15
"Sbj41_Time2",2,41,1,20,7,12,7,17,24,7,28,22,11,21,19,16,33,21,31,30,28,9,19,31,18,36,8,20,14,8,21,22,29,9,16,41,33,22,6,11,29,27,12,3,13,20,37,14,14,48,37,11,43
"Sbj41_Time3",3,41,1,20,12,8,9,16,24,4,20,25,14,21,24,16,26,24,30,24,23,12,22,32,14,39,10,20,20,7,20,16,32,10,9,38,31,19,15,12,31,26,11,11,17,27,33,6,14,53,41,12,45
"Sbj41_Time4",4,41,1,23,11,3,8,18,19,6,25,21,11,22,15,12,31,21,23,32,26,14,23,31,15,35,9,21,21,8,21,11,35,9,15,38,31,20,8,18,31,22,12,10,16,25,34,16,8,50,45,12,43
"Sbj42_Time1",1,42,1,17,10,15,24,15,18,11,14,18,13,10,17,23,14,21,11,17,19,15,15,11,14,13,18,12,11,13,18,10,20,19,23,18,18,14,12,18,16,17,16,18,17,14,18,25,8,18,18,14,7
"Sbj42_Time2",2,42,1,34,8,8,14,24,34,16,27,30,20,9,46,28,50,30,56,44,28,8,33,42,32,69,12,28,44,9,42,15,63,11,7,56,64,29,11,12,39,35,8,7,11,43,48,8,9,120,104,13,92
"Sbj42_Time3",3,42,1,39,6,8,12,23,30,19,24,29,19,9,43,34,51,31,49,48,35,13,33,45,36,69,7,30,46,13,39,6,65,14,9,62,68,33,6,12,38,34,5,10,13,44,55,9,13,117,100,8,94
"Sbj42_Time4",4,42,1,42,9,12,9,21,39,14,29,27,18,10,41,34,41,36,49,44,35,6,32,39,24,69,8,31,48,19,43,20,56,6,14,53,62,32,9,12,38,37,12,14,14,35,50,5,12,118,105,10,97
"Sbj43_Time1",1,43,1,24,18,12,6,19,20,9,21,20,15,17,14,16,18,13,18,22,18,13,7,19,12,19,12,20,11,14,12,18,12,14,13,18,6,24,8,24,17,21,14,14,11,22,12,14,22,13,10,9,14
"Sbj43_Time2",2,43,1,29,14,8,6,23,29,17,25,30,15,12,36,32,53,37,49,48,30,15,21,44,41,68,8,16,37,11,31,17,59,12,17,57,68,40,11,11,36,30,5,7,17,52,40,11,8,122,92,7,83
"Sbj43_Time3",3,43,1,29,11,12,12,18,30,13,22,38,10,13,41,28,55,33,53,49,35,12,23,51,42,73,7,14,44,12,41,23,59,12,11,58,61,41,15,6,35,31,5,12,15,48,34,12,7,112,97,7,76
"Sbj43_Time4",4,43,1,27,9,11,15,20,27,12,20,35,8,16,39,39,45,34,49,49,31,8,16,50,42,72,11,17,42,7,41,13,56,14,11,59,63,42,9,9,30,29,12,12,16,50,37,8,17,109,95,10,84
"Sbj44_Time1",1,44,1,25,10,21,14,10,11,9,13,13,11,20,4,19,18,21,11,5,18,17,23,14,24,10,20,15,13,9,11,15,19,15,14,9,15,14,23,11,10,21,16,12,12,12,15,15,15,25,13,20,14
"Sbj44_Time2",2,44,1,25,12,9,12,23,21,7,24,29,24,23,41,32,44,28,31,40,33,16,18,37,36,63,10,32,34,10,43,19,43,11,11,50,52,30,17,15,31,29,11,7,8,37,31,11,10,76,64,13,59
"Sbj44_Time3",3,44,1,32,12,10,12,19,28,7,22,28,19,19,34,29,42,31,26,36,31,21,13,39,28,61,9,31,36,6,46,18,37,13,16,44,49,19,18,10,26,25,11,15,12,33,34,10,13,73,64,10,64
"Sbj44_Time4",4,44,1,33,12,9,12,29,23,6,28,34,21,17,39,30,41,30,27,38,36,15,16,40,25,63,5,26,37,13,41,15,41,11,12,49,51,24,17,14,31,25,14,19,5,34,28,15,10,74,67,11,56
"Sbj45_Time1",1,45,1,13,6,13,16,19,16,16,17,10,16,20,12,10,15,20,19,18,16,18,22,16,17,14,11,21,12,14,13,9,18,19,12,18,14,17,11,19,16,12,17,4,6,14,9,16,8,12,12,15,15
"Sbj45_Time2",2,45,1,32,7,7,9,27,27,14,25,31,17,12,43,34,50,31,46,45,34,14,27,40,41,70,12,16,41,12,38,11,54,12,8,53,59,40,5,14,38,36,12,12,13,53,30,16,11,111,94,5,78
"Sbj45_Time3",3,45,1,37,8,7,5,36,34,13,24,31,16,7,46,28,47,35,52,43,32,8,20,43,39,67,11,20,34,13,46,13,60,8,11,55,58,35,8,10,41,32,4,14,11,45,41,13,8,113,100,17,79
"Sbj45_Time4",4,45,1,36,13,12,8,28,34,13,23,27,19,8,54,34,52,28,46,51,35,7,23,45,36,65,12,17,41,10,43,9,56,10,15,54,62,38,16,10,41,37,7,11,10,50,33,8,14,109,101,11,72
"Sbj46_Time1",1,46,1,16,18,19,16,15,26,21,14,14,20,13,17,13,13,17,13,9,19,15,19,14,10,13,15,19,10,7,11,15,17,11,19,21,12,9,23,18,15,14,14,27,14,18,11,13,21,22,12,10,16
"Sbj46_Time2",2,46,1,30,11,11,8,14,27,13,20,28,14,23,35,31,38,22,33,38,31,14,22,30,24,61,13,15,39,11,37,8,40,11,9,52,57,33,13,12,34,23,7,9,12,33,33,9,11,87,73,8,61
"Sbj46_Time3",3,46,1,28,9,9,12,19,20,9,18,19,12,21,32,30,39,15,30,31,32,12,24,32,30,64,14,9,38,10,36,17,38,7,6,50,51,26,18,10,38,26,10,16,13,42,33,8,13,85,77,8,64
"Sbj46_Time4",4,46,1,27,10,7,4,22,27,6,21,31,9,23,32,27,38,28,36,33,36,11,25,28,30,55,18,18,33,9,31,15,39,12,10,49,53,27,14,8,41,32,6,9,8,39,36,12,11,83,76,14,64
"Sbj47_Time1",1,47,1,15,13,17,21,15,20,10,18,10,15,19,18,17,11,19,22,19,12,18,9,23,19,12,10,15,14,9,22,18,19,25,13,16,19,10,18,12,11,11,13,16,21,12,14,20,17,21,21,12,14
"Sbj47_Time2",2,47,1,26,16,10,10,15,24,24,21,21,18,18,25,19,34,28,34,33,22,19,35,31,16,51,9,29,25,15,31,22,33,6,12,46,49,25,16,12,22,21,4,9,18,29,31,8,9,71,53,6,52
"Sbj47_Time3",3,47,1,30,11,10,12,18,22,22,15,21,17,13,29,23,28,30,37,33,19,19,31,30,19,51,11,24,24,10,32,23,41,10,11,44,40,27,18,16,28,24,10,9,14,30,36,9,8,66,54,13,51
"Sbj47_Time4",4,47,1,28,8,11,8,16,24,24,28,24,23,17,29,17,42,26,30,31,17,18,29,32,17,53,11,29,28,8,25,16,43,13,14,42,49,25,18,8,27,23,7,10,10,34,31,14,7,78,59,17,47
"Sbj48_Time1",1,48,1,21,12,18,16,7,13,20,15,15,11,13,17,24,12,22,13,15,13,11,10,22,8,24,21,16,15,9,15,19,23,21,27,15,9,18,17,18,16,15,20,14,11,11,16,10,10,17,14,21,12
"Sbj48_Time2",2,48,1,36,10,5,6,16,34,26,15,25,9,19,39,26,33,31,44,40,32,23,33,32,32,56,8,17,35,15,31,18,46,12,15,51,63,38,14,12,19,16,12,18,15,44,42,12,20,96,79,11,75
"Sbj48_Time3",3,48,1,35,14,16,11,9,36,24,16,34,15,12,37,27,31,37,47,39,28,15,34,32,33,51,16,14,41,14,35,15,54,6,10,49,57,44,19,10,17,19,10,17,4,39,38,11,14,98,83,9,79
"Sbj48_Time4",4,48,1,38,9,16,14,16,30,22,16,31,11,16,46,33,43,32,40,42,37,22,32,32,32,55,10,12,44,2,39,17,48,11,9,47,68,39,17,8,26,20,12,14,10,38,40,8,13,98,77,8,76
"Sbj49_Time1",1,49,1,13,13,10,11,14,20,23,26,17,19,13,16,22,22,16,18,18,19,10,11,19,15,16,13,11,13,25,15,21,18,11,24,25,21,22,11,13,9,18,22,19,17,13,15,8,10,14,14,10,13
"Sbj49_Time2",2,49,1,42,12,10,15,20,33,21,20,30,19,8,49,27,38,34,54,42,42,10,44,49,29,68,7,23,43,1,38,13,54,1,4,56,54,48,11,11,38,18,14,16,11,45,37,10,9,123,90,10,83
"Sbj49_Time3",3,49,1,45,8,16,14,22,39,18,26,28,11,6,59,21,39,31,48,47,44,12,39,50,24,72,7,19,44,15,30,11,55,7,10,55,53,39,10,13,35,30,11,10,12,48,42,11,11,119,93,13,82
"Sbj49_Time4",4,49,1,42,10,12,8,16,33,13,18,27,11,7,49,20,38,39,47,44,38,13,41,52,24,70,11,19,44,8,38,16,63,7,12,51,55,41,17,10,32,25,10,13,14,46,38,5,7,115,95,15,82
"Sbj5_Time1",1,5,0,20,17,15,13,15,9,15,14,16,14,11,15,17,10,17,19,17,13,12,15,15,16,25,9,21,23,14,23,15,17,9,17,13,8,15,11,8,17,17,20,10,21,17,19,22,21,14,19,14,22
"Sbj5_Time2",2,5,0,31,12,6,8,33,18,19,18,14,14,14,28,26,23,17,16,24,25,26,8,35,25,32,15,19,25,10,27,15,24,14,12,29,33,19,18,26,26,11,23,8,23,13,8,17,15,13,26,33,15
"Sbj5_Time3",3,5,0,34,5,14,16,32,15,16,25,13,16,14,27,22,26,19,24,23,16,19,14,29,19,23,10,22,27,16,34,10,24,13,16,28,35,21,16,22,29,24,25,17,21,6,10,14,13,20,33,28,9
"Sbj5_Time4",4,5,0,27,14,12,12,30,13,21,13,11,9,7,30,18,20,19,16,21,23,21,16,29,24,28,10,21,22,12,21,15,24,16,11,23,34,16,16,23,31,16,32,20,23,12,11,16,8,12,25,26,8
"Sbj50_Time1",1,50,1,9,12,13,10,20,17,19,17,17,10,23,16,16,13,17,18,13,15,17,18,10,14,18,12,8,15,17,15,16,9,10,11,6,14,16,18,18,16,23,13,20,12,13,17,12,7,12,11,12,24
"Sbj50_Time2",2,50,1,30,13,9,5,17,38,28,25,25,24,10,33,28,46,28,38,40,29,18,31,42,20,60,13,28,37,9,46,12,59,8,8,47,51,31,16,10,28,32,7,9,11,39,43,12,16,101,71,18,74
"Sbj50_Time3",3,50,1,31,12,12,5,10,40,25,19,25,22,9,40,27,33,31,41,35,33,9,31,34,22,66,13,35,37,15,43,14,51,5,12,43,54,32,17,12,30,33,11,17,12,44,36,7,8,98,76,9,71
"Sbj50_Time4",4,50,1,38,8,14,15,20,35,27,21,25,24,11,37,28,38,24,39,38,27,21,29,39,18,62,13,32,35,11,46,15,50,6,9,44,47,28,9,10,26,39,12,9,12,42,37,10,14,100,77,14,76
"Sbj6_Time1",1,6,0,10,4,16,15,15,20,14,19,14,12,10,14,4,21,12,16,25,12,15,11,19,12,15,20,14,15,11,24,14,14,14,11,11,14,22,19,16,17,22,11,5,13,16,12,12,13,15,18,21,13
"Sbj6_Time2",2,6,0,28,15,19,11,20,17,13,17,13,8,16,16,20,30,19,23,24,23,10,18,32,19,26,21,24,27,11,15,19,19,22,16,21,38,16,17,16,22,23,17,9,21,18,8,14,13,22,20,34,14
"Sbj6_Time3",3,6,0,25,8,16,10,31,13,14,13,17,12,11,16,18,26,16,17,27,22,13,22,32,20,26,8,18,33,12,20,18,20,23,16,27,44,15,12,19,19,16,16,10,29,15,10,19,15,27,21,32,17
"Sbj6_Time4",4,6,0,28,10,14,11,28,15,6,10,17,8,7,20,18,25,18,20,26,26,12,20,35,23,28,14,21,35,11,17,15,20,18,14,26,42,22,8,17,20,22,16,5,27,19,14,20,14,27,20,33,19
"Sbj7_Time1",1,7,0,7,20,9,12,12,9,9,23,15,12,11,14,17,11,14,24,12,13,17,14,8,19,20,15,21,15,19,25,14,9,20,11,20,20,20,17,18,20,18,19,17,14,22,18,14,25,19,20,15,16
"Sbj7_Time2",2,7,0,23,8,21,10,14,24,20,20,14,19,19,15,15,21,28,21,16,26,18,21,25,9,31,7,16,17,11,19,17,25,17,20,26,26,15,15,13,15,20,10,21,14,18,11,17,13,19,26,28,17
"Sbj7_Time3",3,7,0,22,5,18,8,16,26,17,18,9,23,21,20,12,22,24,24,19,23,19,27,28,10,29,8,20,19,11,17,25,24,23,20,31,26,7,11,8,21,15,12,17,10,20,17,13,18,24,28,27,20
"Sbj7_Time4",4,7,0,30,6,20,6,19,24,15,19,8,14,19,12,10,21,26,20,17,26,15,25,23,12,31,11,18,22,6,19,14,23,18,21,33,17,10,15,11,19,13,12,17,15,15,7,13,15,28,33,26,20
"Sbj8_Time1",1,8,0,14,14,14,7,17,8,18,11,5,18,16,16,16,18,12,21,8,17,14,11,12,16,19,17,17,18,12,17,12,15,8,13,24,11,17,17,14,12,21,13,15,14,13,11,12,13,12,15,21,10
"Sbj8_Time2",2,8,0,25,13,12,11,25,27,21,22,10,20,15,21,21,28,24,17,16,19,19,10,26,7,33,12,19,28,11,19,8,24,17,23,32,29,10,15,14,25,17,14,27,12,14,13,12,7,14,24,20,16
"Sbj8_Time3",3,8,0,26,9,16,9,29,22,26,25,11,24,21,23,17,30,21,18,24,19,20,6,30,15,32,14,18,27,5,17,8,16,14,20,33,31,17,26,7,26,13,14,20,13,10,16,9,9,9,23,20,11
"Sbj8_Time4",4,8,0,21,11,15,13,32,24,19,26,14,21,14,20,19,30,22,13,20,22,20,10,28,13,33,9,19,23,9,15,15,22,17,20,26,24,6,16,12,28,17,18,19,16,11,14,10,4,12,25,16,11
"Sbj9_Time1",1,9,0,24,19,14,18,15,11,10,19,21,18,18,17,9,15,25,14,17,18,15,15,16,19,17,11,11,10,17,16,21,14,13,22,18,11,14,17,13,12,18,17,16,19,13,10,12,15,15,12,21,16
"Sbj9_Time2",2,9,0,26,12,10,13,15,14,12,19,24,11,21,25,14,25,23,18,19,16,14,20,24,25,28,20,14,26,12,22,21,24,20,11,32,23,15,15,14,24,18,19,9,10,16,11,15,15,25,16,25,22
"Sbj9_Time3",3,9,0,22,14,8,7,17,20,14,17,21,14,20,27,14,24,26,17,18,17,10,15,22,21,28,16,23,28,11,21,18,26,18,17,40,32,9,21,15,24,18,23,11,10,17,11,11,15,24,19,26,19
"Sbj9_Time4",4,9,0,27,10,17,6,11,20,10,14,18,9,19,29,8,27,27,23,22,13,14,23,28,21,25,16,13,28,12,26,16,28,16,13,30,28,16,17,12,31,21,13,7,11,16,6,14,14,30,23,21,19
