"","Time","ID","Group","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj36_Time1",1,36,1,14,20,13,11,19,21,22,12,18,16,11,12,18,19,13,16,14,9,20,15,5,12,15,15,15,13,9,10,9,8,14,18,15,15,16,19,17,18,12,17,11,11,16,19,16,23,7,8,18,18
"Sbj36_Time2",2,36,1,17,25,23,14,21,21,9,12,9,9,12,7,20,17,22,15,22,15,12,8,25,20,8,27,19,26,9,7,15,22,14,15,13,13,8,15,14,16,15,15,8,16,14,18,12,11,18,8,22,16
"Sbj36_Time3",3,36,1,23,26,17,15,17,18,12,20,9,7,14,12,18,7,22,13,18,18,14,10,21,18,10,17,25,20,9,13,11,21,15,17,8,17,12,12,27,16,14,10,14,21,18,19,12,9,7,8,17,19
"Sbj36_Time4",4,36,1,19,29,20,18,19,21,6,16,12,15,11,14,15,11,24,16,24,11,20,11,23,16,10,20,16,26,10,12,7,16,12,21,11,13,9,22,20,19,20,12,12,15,15,18,13,11,12,7,18,14
"Sbj37_Time1",1,37,1,18,18,14,17,10,22,12,19,15,19,19,20,10,14,7,17,18,17,14,11,10,15,14,18,18,19,9,15,17,14,12,23,14,14,17,20,11,15,15,16,12,18,12,19,20,20,17,14,15,22
"Sbj37_Time2",2,37,1,37,32,21,12,23,12,22,24,8,21,24,9,3,12,30,15,23,20,21,10,37,15,17,16,13,11,11,15,38,23,20,15,10,13,14,19,22,13,18,9,14,29,11,43,10,20,10,10,49,38
"Sbj37_Time3",3,37,1,30,31,23,10,25,5,25,20,9,25,26,13,6,12,25,11,22,18,19,12,35,7,13,14,22,8,14,14,38,20,15,20,11,19,21,25,19,12,19,10,11,35,10,42,5,25,12,6,47,37
"Sbj37_Time4",4,37,1,31,28,22,14,22,12,24,22,9,20,27,4,14,17,29,12,23,18,17,12,40,21,17,18,15,11,12,15,42,17,14,24,15,13,22,21,17,8,22,10,12,31,7,46,11,20,11,16,54,42
"Sbj38_Time1",1,38,1,20,14,24,11,20,25,11,23,23,12,16,17,16,13,19,19,14,12,16,18,22,16,9,13,17,11,14,21,22,17,11,13,17,14,14,16,19,17,16,20,9,20,11,11,15,20,15,9,14,18
"Sbj38_Time2",2,38,1,20,25,16,9,23,10,16,27,11,26,17,14,11,13,26,7,31,7,24,13,24,18,12,17,19,18,10,16,28,19,17,15,13,16,16,20,18,17,17,17,1,22,11,33,10,28,6,11,45,26
"Sbj38_Time3",3,38,1,19,18,24,7,30,4,14,23,9,19,13,5,5,10,28,4,24,5,26,8,22,12,11,11,13,20,7,13,28,14,16,16,12,17,13,18,16,6,20,9,14,19,14,40,8,17,12,13,41,25
"Sbj38_Time4",4,38,1,21,26,25,11,28,7,20,23,13,18,18,7,14,21,34,8,24,9,25,19,22,22,12,10,19,18,7,9,30,15,23,14,15,19,12,23,13,14,21,6,15,21,14,33,10,23,14,11,48,31
"Sbj39_Time1",1,39,1,17,15,14,16,12,14,14,13,19,13,18,15,12,19,16,19,11,23,19,15,24,23,12,17,14,18,16,12,17,19,17,14,13,15,19,10,18,25,15,11,6,20,17,9,16,15,21,22,13,20
"Sbj39_Time2",2,39,1,20,23,20,8,27,17,9,29,11,28,16,13,14,25,31,8,18,17,28,11,31,10,14,21,16,20,9,5,36,16,14,17,17,12,16,14,18,9,20,15,15,22,11,35,16,19,19,9,37,34
"Sbj39_Time3",3,39,1,24,22,24,9,23,7,14,24,15,26,18,10,5,16,27,11,18,16,25,10,31,7,13,22,12,20,10,13,37,13,20,20,8,11,11,19,15,12,22,8,15,22,15,37,1,23,14,10,33,32
"Sbj39_Time4",4,39,1,26,27,26,11,25,6,9,25,14,31,14,10,5,22,24,12,19,17,28,8,33,5,14,24,14,26,8,8,33,17,19,12,15,13,18,16,16,14,19,12,8,23,16,34,11,30,15,12,34,31
"Sbj4_Time1",1,4,0,14,12,9,14,17,10,16,9,19,16,10,11,10,13,21,9,17,20,18,18,14,16,14,19,17,19,17,12,20,12,15,14,8,17,7,14,18,11,19,17,8,21,16,11,11,21,15,10,13,17
"Sbj4_Time2",2,4,0,33,24,24,10,20,14,18,18,10,11,14,17,10,10,34,12,19,14,16,8,30,21,15,25,11,11,7,16,19,16,24,10,12,21,12,24,9,11,14,0,21,22,25,13,15,31,18,15,22,13
"Sbj4_Time3",3,4,0,27,18,27,8,15,16,19,17,15,11,11,17,7,7,26,10,15,15,24,7,35,20,9,27,11,11,12,12,24,6,19,21,12,19,16,23,5,21,21,11,13,14,29,16,17,27,14,13,19,25
"Sbj4_Time4",4,4,0,30,20,20,12,16,15,22,20,13,10,10,16,9,12,26,10,14,12,17,14,31,20,7,20,12,17,10,12,19,10,24,23,12,17,11,23,11,17,17,11,17,11,26,16,14,29,16,16,20,18
"Sbj40_Time1",1,40,1,11,8,14,15,12,29,20,4,16,17,14,12,22,13,17,17,19,15,9,20,17,7,18,19,12,17,15,14,21,15,17,10,25,19,14,6,17,18,16,15,19,23,19,15,19,15,21,15,22,19
"Sbj40_Time2",2,40,1,22,19,13,14,16,9,20,23,9,26,10,11,13,18,19,17,25,6,23,17,26,10,7,8,27,10,12,19,39,11,8,23,8,15,15,22,23,11,17,11,14,20,22,38,11,15,17,14,33,39
"Sbj40_Time3",3,40,1,19,19,22,12,22,12,24,35,12,21,18,12,12,14,25,15,25,9,25,10,30,7,7,16,23,12,21,11,33,20,14,27,17,15,8,20,19,11,14,7,16,17,19,46,8,7,21,15,24,36
"Sbj40_Time4",4,40,1,22,16,21,9,13,12,21,28,17,21,13,10,11,19,24,27,21,10,20,6,23,10,13,14,22,13,15,5,40,12,9,23,12,10,15,23,12,10,12,15,9,27,18,33,11,19,24,8,25,38
"Sbj41_Time1",1,41,1,17,23,17,8,16,19,15,18,17,12,17,18,19,16,15,18,23,13,12,17,12,16,13,23,12,8,18,12,20,20,15,19,24,19,18,16,22,9,21,26,12,22,17,15,18,12,16,15,14,15
"Sbj41_Time2",2,41,1,23,11,21,7,20,12,10,29,17,18,12,10,13,22,26,14,22,19,16,9,31,12,12,14,18,5,9,9,42,14,17,28,15,11,14,11,14,22,24,12,3,22,13,38,14,20,16,8,29,31
"Sbj41_Time3",3,41,1,23,16,16,9,19,12,7,22,20,22,12,15,12,15,29,13,16,14,19,12,32,8,15,16,18,11,8,8,35,16,17,22,12,9,11,20,16,24,24,11,11,26,20,34,6,20,21,13,30,33
"Sbj41_Time4",4,41,1,26,15,11,8,21,7,8,26,16,19,13,6,8,20,26,6,24,17,21,13,31,10,11,15,19,13,9,9,31,19,17,28,12,9,11,13,21,24,20,12,10,25,19,35,16,14,18,16,30,31
"Sbj42_Time1",1,42,1,17,10,15,24,15,18,11,14,18,13,10,17,23,14,21,11,17,19,15,15,11,14,13,18,12,11,13,18,10,20,19,23,18,18,14,12,18,16,17,16,18,17,14,18,25,8,18,18,14,7
"Sbj42_Time2",2,42,1,15,8,19,14,21,10,14,23,16,16,8,14,6,19,19,22,15,7,17,14,20,17,11,16,21,19,9,10,25,22,20,18,13,13,10,22,23,18,22,8,12,19,15,8,15,12,14,13,13,14
"Sbj42_Time3",3,42,1,28,6,21,12,21,6,24,20,12,19,8,11,12,21,26,11,25,13,24,12,28,26,11,7,22,17,13,7,28,25,23,21,17,17,13,21,19,18,21,5,10,22,16,34,9,22,12,9,29,29
"Sbj42_Time4",4,42,1,31,9,25,9,19,15,19,24,10,18,9,9,12,10,32,11,21,13,17,11,22,14,12,8,24,19,19,11,41,16,15,27,9,11,12,24,19,18,24,12,14,23,8,29,5,21,12,14,32,33
"Sbj43_Time1",1,43,1,24,18,12,6,19,20,9,21,20,15,17,14,16,18,13,18,22,18,13,7,19,12,19,12,20,11,14,12,18,12,14,13,18,6,24,8,24,17,21,14,14,11,22,12,14,22,13,10,9,14
"Sbj43_Time2",2,43,1,25,23,21,6,25,11,26,26,7,22,17,7,8,18,29,17,24,13,18,11,32,22,11,8,16,7,11,7,37,23,15,21,11,25,13,27,11,16,19,5,7,32,15,40,11,15,24,12,35,38
"Sbj43_Time3",3,43,1,25,20,25,12,20,12,21,24,14,17,18,12,5,20,25,21,24,18,16,13,39,23,16,7,14,14,12,17,43,22,14,15,11,18,15,31,6,15,19,5,12,30,12,34,12,14,13,17,35,31
"Sbj43_Time4",4,43,1,23,18,24,15,21,9,20,22,12,15,21,10,15,10,26,16,24,14,12,6,39,23,15,11,16,12,7,17,33,20,17,15,12,20,16,25,9,10,18,12,12,32,14,38,8,23,11,15,38,39
"Sbj44_Time1",1,44,1,25,10,21,14,10,11,9,13,13,11,20,4,19,18,21,11,5,18,17,23,14,24,10,20,15,13,9,11,15,19,15,14,9,15,14,23,11,10,21,16,12,12,12,15,15,15,25,13,20,14
"Sbj44_Time2",2,44,1,22,21,21,12,23,5,7,21,19,27,19,18,14,21,24,13,20,16,23,13,26,19,12,16,26,13,10,15,35,17,17,24,11,20,20,22,22,15,21,11,6,21,20,31,11,14,28,11,28,33
"Sbj44_Time3",3,44,1,29,21,22,12,19,12,7,18,18,22,15,10,11,19,27,8,16,14,28,8,29,10,10,16,26,15,6,18,33,12,19,29,5,18,9,23,17,11,17,11,13,25,17,34,10,17,24,11,25,38
"Sbj44_Time4",4,44,1,29,21,21,12,29,7,6,25,23,23,13,16,12,18,27,9,18,18,23,11,30,8,11,11,20,16,13,12,30,15,18,25,10,19,14,22,21,16,17,14,17,18,18,28,15,14,25,13,26,30
"Sbj45_Time1",1,45,1,13,6,13,16,19,16,16,17,10,16,20,12,10,15,20,19,18,16,18,22,16,17,14,11,21,12,14,13,9,18,19,12,18,14,17,11,19,16,12,17,4,6,14,9,16,8,12,12,15,15
"Sbj45_Time2",2,45,1,16,17,15,11,21,9,17,22,11,22,20,17,19,13,18,16,13,13,20,17,25,19,11,18,12,17,20,6,18,16,19,9,10,8,23,5,25,22,22,12,11,13,30,12,16,11,21,16,9,18
"Sbj45_Time3",3,45,1,21,18,15,8,30,16,15,20,11,21,15,20,14,10,22,22,11,11,14,9,28,17,8,18,16,11,21,15,20,23,15,13,12,7,18,7,21,25,18,4,14,11,22,22,13,8,22,22,21,19
"Sbj45_Time4",4,45,1,20,23,20,10,21,16,16,20,7,24,16,28,19,15,14,15,19,14,12,12,30,15,6,19,14,18,18,12,16,19,17,16,10,11,21,15,21,25,23,7,11,10,27,14,8,14,18,22,15,12
"Sbj46_Time1",1,46,1,16,18,19,16,15,26,21,14,14,20,13,17,13,13,17,13,9,19,15,19,14,10,13,15,19,10,7,11,15,17,11,19,21,12,9,23,18,15,14,14,27,14,18,11,13,21,22,12,10,16
"Sbj46_Time2",2,46,1,42,11,11,8,20,12,20,14,28,27,18,19,12,26,30,14,13,13,32,9,37,9,15,18,26,32,11,12,29,10,15,26,20,18,33,13,26,39,22,7,9,12,50,39,9,11,95,49,8,68
"Sbj46_Time3",3,46,1,40,9,9,12,25,5,16,13,19,26,16,16,12,27,24,11,6,13,29,10,40,15,19,19,21,32,10,11,38,8,11,23,18,11,26,18,24,42,26,10,16,13,59,40,8,13,93,54,8,71
"Sbj46_Time4",4,46,1,39,10,7,4,28,11,13,15,31,22,18,16,8,25,36,17,8,17,28,11,36,14,9,23,29,26,9,6,36,9,16,27,17,13,27,14,22,45,31,6,9,8,55,43,12,11,91,53,14,71
"Sbj47_Time1",1,47,1,15,13,17,21,15,20,10,18,10,15,19,18,17,11,19,22,19,12,18,9,23,19,12,10,15,14,9,22,18,19,25,13,16,19,10,18,12,11,11,13,16,21,12,14,20,17,21,21,12,14
"Sbj47_Time2",2,47,1,20,22,17,10,17,10,17,19,9,18,17,7,7,20,23,13,18,10,29,21,23,11,13,17,26,11,15,13,33,9,10,22,20,20,14,22,19,10,15,4,9,25,14,25,8,13,23,7,20,25
"Sbj47_Time3",3,47,1,25,18,17,12,20,8,15,13,9,18,12,11,11,14,26,15,18,7,29,16,23,14,13,19,21,10,10,14,33,17,14,21,18,11,15,24,22,16,18,10,9,22,15,29,9,12,18,7,27,24
"Sbj47_Time4",4,47,1,23,15,18,8,18,10,17,25,13,24,16,11,6,28,21,8,16,5,28,14,25,12,15,18,26,14,8,7,27,19,17,25,16,20,14,23,15,15,17,7,10,18,20,24,14,11,29,12,30,20
"Sbj48_Time1",1,48,1,21,12,18,16,7,13,20,15,15,11,13,17,24,12,22,13,15,13,11,10,22,8,24,21,16,15,9,15,19,23,21,27,15,9,18,17,18,16,15,20,14,11,11,16,10,10,17,14,21,12
"Sbj48_Time2",2,48,1,34,22,18,6,24,14,26,15,6,21,27,10,9,11,28,11,21,18,31,13,25,20,11,8,18,10,15,9,41,13,17,30,15,22,13,30,13,7,12,12,18,24,20,46,12,33,12,10,42,39
"Sbj48_Time3",3,48,1,32,26,28,11,17,15,24,16,16,26,20,8,9,9,35,13,20,14,23,14,25,20,6,17,16,17,14,14,38,21,12,25,13,16,18,35,11,5,15,10,17,14,15,42,11,27,14,13,40,42
"Sbj48_Time4",4,48,1,35,21,28,14,23,10,22,16,13,23,24,16,15,21,30,7,23,23,31,12,24,20,11,11,14,20,2,17,40,15,16,24,11,27,13,33,10,13,15,12,14,20,14,44,8,26,14,8,39,39
"Sbj49_Time1",1,49,1,13,13,10,11,14,20,23,26,17,19,13,16,22,22,16,18,18,19,10,11,19,15,16,13,11,13,25,15,21,18,11,24,25,21,22,11,13,9,18,22,19,17,13,15,8,10,14,14,10,13
"Sbj49_Time2",2,49,1,25,24,22,15,29,9,15,16,13,25,10,13,16,13,21,14,16,21,16,14,31,14,10,19,21,17,4,9,26,10,6,7,15,9,25,12,21,21,16,14,16,16,20,22,10,12,27,10,19,23
"Sbj49_Time3",3,49,1,27,20,27,14,30,16,12,22,11,17,8,23,11,13,18,8,21,23,19,10,31,8,14,19,17,18,18,1,24,12,12,12,13,8,16,11,23,18,28,11,10,17,23,26,11,14,22,13,22,22
"Sbj49_Time4",4,49,1,25,22,23,8,25,9,7,14,10,17,8,14,9,12,26,7,19,17,20,12,34,9,11,23,17,18,11,9,28,19,12,15,10,10,18,18,21,15,22,10,13,19,21,23,5,10,18,15,23,22
"Sbj5_Time1",1,5,0,20,17,15,13,15,9,15,14,16,14,11,15,17,10,17,19,17,13,12,15,15,16,25,9,21,23,14,23,15,17,9,17,13,8,15,11,8,17,17,20,10,21,17,19,22,21,14,19,14,22
"Sbj5_Time2",2,5,0,24,23,21,8,26,16,15,18,9,16,14,19,23,12,14,15,26,16,25,7,32,20,15,22,19,14,10,10,19,18,16,8,17,16,14,23,23,15,7,11,5,25,23,10,13,15,10,11,22,17
"Sbj5_Time3",3,5,0,27,17,29,16,25,14,12,25,7,18,14,18,19,15,17,22,25,7,18,13,27,14,6,17,21,15,16,17,14,18,15,12,15,18,16,21,19,18,20,13,13,23,16,12,10,14,16,17,18,10
"Sbj5_Time4",4,5,0,20,25,26,12,23,12,17,13,6,12,7,21,15,10,17,15,23,14,21,15,26,18,11,17,21,10,12,3,19,18,18,8,11,16,12,21,20,19,13,19,17,25,22,13,12,8,8,10,15,9
"Sbj50_Time1",1,50,1,9,12,13,10,20,17,19,17,17,10,23,16,16,13,17,18,13,15,17,18,10,14,18,12,8,15,17,15,16,9,10,11,6,14,16,18,18,16,23,13,20,12,13,17,12,7,12,11,12,24
"Sbj50_Time2",2,50,1,46,13,9,5,24,12,27,23,28,35,10,14,13,35,30,10,15,9,40,13,45,9,8,25,37,34,9,12,36,22,8,26,11,9,30,12,21,36,33,7,9,11,62,48,12,16,116,49,18,82
"Sbj50_Time3",3,50,1,47,12,12,5,17,14,24,17,27,32,9,22,11,22,33,13,10,13,30,14,37,10,13,25,43,34,15,9,38,14,5,31,8,13,30,12,23,38,35,11,17,12,67,41,7,8,113,53,9,79
"Sbj50_Time4",4,50,1,54,8,14,15,28,9,25,19,28,34,11,19,12,27,26,11,13,7,42,11,42,6,9,25,41,31,11,12,39,13,6,27,9,6,26,5,21,34,40,12,9,12,65,41,10,14,115,55,14,84
"Sbj6_Time1",1,6,0,10,4,16,15,15,20,14,19,14,12,10,14,4,21,12,16,25,12,15,11,19,12,15,20,14,15,11,24,14,14,14,11,11,14,22,19,16,17,22,11,5,13,16,12,12,13,15,18,21,13
"Sbj6_Time2",2,6,0,33,25,25,11,22,14,10,21,16,18,14,13,12,17,20,16,12,16,12,10,36,11,10,32,25,19,11,5,27,15,20,24,6,26,21,21,15,9,20,10,9,25,22,11,17,16,19,10,21,27
"Sbj6_Time3",3,6,0,30,18,22,10,33,10,11,17,20,23,10,12,10,12,18,10,16,15,15,14,36,13,10,19,18,25,12,10,27,16,21,24,12,31,20,17,19,6,13,9,10,32,19,13,21,18,23,11,19,29
"Sbj6_Time4",4,6,0,33,20,20,11,30,12,3,14,21,19,5,17,10,12,19,13,14,19,14,12,39,15,12,24,21,28,11,6,24,16,16,23,11,29,27,13,17,8,20,9,5,30,22,17,23,17,24,10,20,32
"Sbj7_Time1",1,7,0,7,20,9,12,12,9,9,23,15,12,11,14,17,11,14,24,12,13,17,14,8,19,20,15,21,15,19,25,14,9,20,11,20,20,20,17,18,20,18,19,17,14,22,18,14,25,19,20,15,16
"Sbj7_Time2",2,7,0,26,12,31,10,15,9,12,25,14,23,12,12,15,11,31,8,17,19,22,15,29,9,15,16,19,14,11,9,32,20,11,25,20,17,15,19,22,7,27,9,28,23,25,11,19,27,13,9,25,19
"Sbj7_Time3",3,7,0,24,8,28,8,17,12,9,22,9,26,14,17,12,11,28,12,19,16,24,21,32,10,13,17,23,16,11,6,40,20,18,25,25,16,7,16,17,13,23,11,23,19,27,17,14,32,17,11,23,22
"Sbj7_Time4",4,7,0,32,10,30,6,19,10,8,24,8,17,12,9,10,11,30,8,17,20,20,18,27,12,14,19,22,20,6,9,29,19,13,25,27,7,10,19,20,11,21,11,24,24,22,7,15,28,21,16,23,22
"Sbj8_Time1",1,8,0,14,14,14,7,17,8,18,11,5,18,16,16,16,18,12,21,8,17,14,11,12,16,19,17,17,18,12,17,12,15,8,13,24,11,17,17,14,12,21,13,15,14,13,11,12,13,12,15,21,10
"Sbj8_Time2",2,8,0,26,14,24,11,21,18,15,23,10,23,10,12,15,16,26,12,16,10,25,10,27,8,18,21,19,22,11,12,22,19,21,24,23,14,12,19,18,14,17,12,25,19,19,17,19,21,19,15,21,22
"Sbj8_Time3",3,8,0,28,9,28,10,25,13,21,26,11,27,16,14,12,19,24,13,24,11,26,6,31,15,18,23,18,22,5,10,22,11,18,21,24,16,19,30,11,15,14,12,18,20,15,19,16,23,13,14,21,17
"Sbj8_Time4",4,8,0,23,11,28,14,28,15,13,27,14,23,9,10,14,19,25,7,20,13,26,10,29,14,18,18,19,18,9,8,29,16,21,21,17,9,9,21,16,18,17,16,17,23,16,17,16,18,16,16,18,17
"Sbj9_Time1",1,9,0,24,19,14,18,15,11,10,19,21,18,18,17,9,15,25,14,17,18,15,15,16,19,17,11,11,10,17,16,21,14,13,22,18,11,14,17,13,12,18,17,16,19,13,10,12,15,15,12,21,16
"Sbj9_Time2",2,9,0,32,17,22,13,18,6,12,18,21,11,13,17,12,15,26,9,12,12,18,11,27,19,14,30,17,14,12,9,23,13,21,20,16,11,19,18,16,20,22,11,11,14,28,11,15,25,24,7,18,24
"Sbj9_Time3",3,9,0,28,19,21,7,20,12,14,16,18,14,12,19,12,15,29,8,11,14,14,6,24,15,14,26,27,15,11,8,20,15,19,26,24,20,13,24,17,20,22,15,13,14,29,11,11,26,23,10,19,21
"Sbj9_Time4",4,9,0,33,15,30,6,14,12,10,13,14,9,11,20,6,17,30,14,15,10,18,14,30,15,11,26,17,15,12,13,19,18,17,22,14,16,20,19,14,27,25,5,9,15,28,6,14,25,29,13,14,22
